Timestamp,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,
15/07/2022 9:39:20 a.m.:750,77,0,0,3.786804,2.887833,Floor,
15/07/2022 9:39:20 a.m.:771,77,0,0,3.692307,3.491882,Floor,
15/07/2022 9:39:20 a.m.:809,77,0,0,3.700241,3.393494,Floor,
15/07/2022 9:39:20 a.m.:824,77,0,0,3.700241,3.393494,Floor,
15/07/2022 9:39:20 a.m.:844,77,0,0,3.826508,3.569962,OilPan,
15/07/2022 9:39:20 a.m.:861,77,0,0,3.778259,3.559509,Crankcase,
15/07/2022 9:39:20 a.m.:883,77,0,0,3.793365,3.627213,Crankcase,
15/07/2022 9:39:20 a.m.:904,77,0,0,3.752472,3.556152,Crankcase,
15/07/2022 9:39:20 a.m.:932,77,0,0,3.774307,3.504028,Crankcase,
15/07/2022 9:39:20 a.m.:958,77,0,0,3.792984,3.564316,Crankcase,
15/07/2022 9:39:20 a.m.:974,77,0,0,3.783646,3.533203,Crankcase,
15/07/2022 9:39:20 a.m.:993,77,0,0,3.805878,3.535522,Crankcase,
15/07/2022 9:39:21 a.m.:16,77,0,0,3.700623,3.522797,Crankcase,
15/07/2022 9:39:21 a.m.:39,77,0,0,3.738403,3.492569,Crankcase,
15/07/2022 9:39:21 a.m.:66,77,0,0,3.631317,3.303375,Crankcase,
15/07/2022 9:39:21 a.m.:84,77,0,0,3.747971,3.442276,Crankcase,
15/07/2022 9:39:21 a.m.:113,77,0,0,3.726395,3.446274,Crankcase,
15/07/2022 9:39:21 a.m.:128,77,0,0,3.761185,3.531876,Crankcase,
15/07/2022 9:39:21 a.m.:149,77,0,0,3.701141,3.53656,Crankcase,
15/07/2022 9:39:21 a.m.:181,77,0,0,3.733719,3.353821,Crankcase,
15/07/2022 9:39:21 a.m.:197,77,0,0,3.531631,3.318863,Free_Wheel,
15/07/2022 9:39:21 a.m.:217,77,0,0,3.785324,3.274338,Free_Wheel,
15/07/2022 9:39:21 a.m.:238,77,0,0,3.662064,3.346878,Free_Wheel,
15/07/2022 9:39:21 a.m.:269,77,0,0,3.578079,3.335327,Free_Wheel,
15/07/2022 9:39:21 a.m.:285,77,0,0,3.64711,3.40654,Free_Wheel,
15/07/2022 9:39:21 a.m.:309,77,0,0,3.755127,3.341217,Free_Wheel,
15/07/2022 9:39:21 a.m.:328,77,0,0,3.354248,3.28804,Free_Wheel,
15/07/2022 9:39:21 a.m.:351,77,0,0,3.445572,3.322571,Free_Wheel,
15/07/2022 9:39:21 a.m.:373,77,0,0,3.496964,3.32814,Free_Wheel,
15/07/2022 9:39:21 a.m.:396,77,0,0,3.462387,3.296494,Free_Wheel,
15/07/2022 9:39:21 a.m.:434,77,0,0,3.431229,3.302795,Free_Wheel,
15/07/2022 9:39:21 a.m.:450,77,0,0,3.447662,3.312775,Free_Wheel,
15/07/2022 9:39:21 a.m.:467,77,0,0,3.382813,3.380417,Free_Wheel,
15/07/2022 9:39:21 a.m.:484,77,0,0,3.536163,3.226868,Free_Wheel,
15/07/2022 9:39:21 a.m.:506,77,0,0,3.381729,3.32106,Free_Wheel,
15/07/2022 9:39:21 a.m.:528,77,0,0,3.665634,3.424179,Free_Wheel,
15/07/2022 9:39:21 a.m.:557,77,0,0,3.651489,3.394485,Free_Wheel,
15/07/2022 9:39:21 a.m.:583,77,0,0,3.605377,3.404556,Free_Wheel,
15/07/2022 9:39:21 a.m.:600,77,0,0,3.582275,3.435806,Free_Wheel,
15/07/2022 9:39:21 a.m.:618,77,0,0,3.543594,3.286682,Free_Wheel,
15/07/2022 9:39:21 a.m.:640,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:662,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:690,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:707,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:737,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:754,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:773,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:795,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:824,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:840,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:863,77,0,0,3.494003,3.511642,PushRod_R05,
15/07/2022 9:39:21 a.m.:884,77,0,0,3.761353,-1,Floor,
15/07/2022 9:39:21 a.m.:908,77,0,0,3.4832,-1,Floor,
15/07/2022 9:39:21 a.m.:938,77,0,0,3.528656,-1,Floor,
15/07/2022 9:39:21 a.m.:954,77,0,0,3.524933,-1,Floor,
15/07/2022 9:39:21 a.m.:974,77,0,0,3.585114,-1,Floor,
15/07/2022 9:39:21 a.m.:996,77,0,0,3.575516,-1,Floor,
15/07/2022 9:39:22 a.m.:19,77,0,0,3.867523,-1,Floor,
15/07/2022 9:39:22 a.m.:57,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:74,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:91,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:108,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:130,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:152,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:183,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:208,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:226,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:243,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:263,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:286,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:314,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:331,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:353,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:376,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:398,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:429,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:446,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:465,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:486,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:510,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:531,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:559,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:582,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:603,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:621,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:643,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:665,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:688,77,0,0,3.461014,-1,Floor,
