TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,rightPupilDialation,collidingObjectName,
13/07/2022 11:18:31 p.m.:240,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:252,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:264,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:274,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:285,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:297,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:308,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:320,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:331,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:343,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:354,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:366,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:377,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:388,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:398,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:410,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:421,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:432,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:443,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:457,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:473,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:486,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:495,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:509,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:524,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:539,0.61,-0.04,0,0,0,,,
13/07/2022 11:18:31 p.m.:554,0.61,0.14,0,0,0,,,
13/07/2022 11:18:31 p.m.:570,0.61,0.27,0,0,0,,,
13/07/2022 11:18:31 p.m.:585,0.61,0.39,0,0,0,,,
13/07/2022 11:18:31 p.m.:599,0.61,0.48,0,0,0,,,
13/07/2022 11:18:31 p.m.:614,0.61,0.57,0,0,0,,,
13/07/2022 11:18:31 p.m.:630,0.61,0.64,0,0,0,,,
13/07/2022 11:18:31 p.m.:646,0.61,0.67,0,0,0,,,
13/07/2022 11:18:31 p.m.:659,0.61,0.67,0,0,0,,,
13/07/2022 11:18:31 p.m.:667,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:683,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:695,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:707,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:716,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:728,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:738,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:749,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:761,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:772,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:783,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:794,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:809,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:817,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:828,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:840,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:849,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:861,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:874,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:883,0.61,0.7,0,0,0,,,
13/07/2022 11:18:31 p.m.:894,0.61,0.7,0,0,0,,,
